applicant_id,age,income,credit_history_months,num_credit_accounts,debt_ratio,num_late_payments,status,target,true_good
38,63,15535.3,171,2,0.452,2,rejected,,1
39,30,43550.01,28,1,0.614,2,rejected,,1
40,47,36756.93,138,2,0.29,1,approved,1.0,1
41,63,36964.24,92,0,0.259,0,approved,1.0,1
42,31,111885.31,161,3,0.331,1,approved,1.0,1
43,31,30156.73,226,2,0.078,0,approved,1.0,1
44,27,45421.38,161,2,0.146,2,approved,1.0,1
45,18,176563.78,139,2,0.441,0,approved,1.0,1
46,46,64160.66,202,2,0.089,3,approved,1.0,1
47,18,42622.84,36,1,0.242,2,rejected,,1
48,51,47434.59,56,4,0.175,0,rejected,,1
49,41,33641.97,143,2,0.516,2,approved,1.0,1
50,28,56265.53,147,4,0.239,0,approved,1.0,1
51,38,20509.42,210,4,0.456,0,approved,1.0,1
52,18,40176.81,64,8,0.317,1,rejected,,1
53,26,25802.43,194,3,0.113,1,approved,1.0,1
54,44,46923.07,80,6,0.22,2,approved,0.0,0
55,22,72050.37,189,1,0.104,0,approved,1.0,1
56,59,19129.02,173,3,0.156,1,approved,0.0,0
57,32,37764.9,87,0,0.537,4,rejected,,0
58,70,46207.06,95,3,0.406,1,approved,1.0,1
59,27,27320.7,153,3,0.105,1,approved,1.0,1
60,53,40688.01,51,4,0.229,0,rejected,,0
61,47,54363.78,43,4,0.183,3,approved,0.0,0
62,70,42103.62,45,6,0.268,1,approved,1.0,1
63,53,29195.92,214,3,0.354,0,approved,1.0,1
64,67,61327.07,220,1,0.305,0,approved,1.0,1
65,44,83352.47,50,6,0.089,1,approved,1.0,1
66,30,40574.61,3,6,0.177,1,rejected,,1
67,28,64031.6,71,4,0.174,0,approved,0.0,0
68,67,43872.63,211,4,0.09,0,approved,1.0,1
69,29,19744.05,239,1,0.205,2,approved,1.0,1
70,59,56630.7,25,0,0.26,1,rejected,,0
71,48,66546.5,237,3,0.149,0,approved,1.0,1
72,33,70416.08,100,3,0.255,0,approved,1.0,1
73,41,35199.8,229,3,0.16,6,approved,0.0,0
74,63,143801.02,31,4,0.264,5,rejected,,0
75,43,51212.44,49,4,0.355,1,rejected,,0
76,67,37537.63,10,3,0.196,2,rejected,,1
77,71,20135.39,166,1,0.23,2,approved,1.0,1
78,35,24017.77,191,6,0.57,1,approved,0.0,0
79,47,26983.36,36,1,0.376,2,rejected,,1
80,48,19586.33,94,1,0.259,2,approved,0.0,0
81,48,88348.52,220,5,0.375,0,approved,1.0,1
82,22,54301.24,174,2,0.508,3,rejected,,0
83,39,12807.61,223,2,0.297,0,approved,1.0,1
84,51,37702.6,127,3,0.382,2,approved,0.0,0
85,70,42584.79,235,2,0.255,0,approved,1.0,1
86,31,37624.22,193,3,0.264,2,approved,1.0,1
87,54,146519.14,120,10,0.268,0,approved,1.0,1
88,61,26257.77,72,1,0.576,4,rejected,,0
89,70,85016.14,236,0,0.142,1,approved,1.0,1
90,27,34819.06,9,3,0.155,0,rejected,,0
91,56,113780.08,8,4,0.124,3,approved,1.0,1
92,35,8202.53,58,6,0.052,2,rejected,,1
93,43,41074.35,34,6,0.356,1,rejected,,0
94,18,102243.14,6,1,0.185,1,approved,0.0,0
95,59,49552.1,196,3,0.047,1,approved,1.0,1
96,19,20416.74,11,3,0.294,1,rejected,,1
97,39,15067.84,37,3,0.023,0,rejected,,1
98,46,24558.98,158,1,0.477,1,approved,1.0,1
99,56,19904.71,67,3,0.27,0,rejected,,1
100,44,18405.88,12,1,0.092,0,rejected,,0
101,65,86009.41,89,2,0.192,0,approved,1.0,1
102,25,36360.0,32,4,0.132,3,rejected,,0
103,32,22931.16,228,2,0.207,0,approved,0.0,0
104,32,20555.1,88,2,0.299,2,rejected,,0
105,39,18181.75,125,5,0.06,1,approved,0.0,0
106,18,48001.9,144,6,0.25,0,approved,1.0,1
107,42,41934.51,203,1,0.385,0,approved,0.0,0
108,39,24290.91,100,4,0.254,1,approved,0.0,0
109,51,85017.45,138,4,0.12,1,approved,1.0,1
110,50,23086.17,96,4,0.109,3,rejected,,0
111,34,26315.95,1,1,0.754,2,rejected,,0
112,42,40421.06,47,3,0.354,2,rejected,,0
113,46,21180.21,30,3,0.175,0,rejected,,1
114,65,45067.35,211,1,0.577,1,approved,1.0,1
115,22,17782.9,159,4,0.172,1,approved,1.0,1
116,53,23766.66,228,1,0.427,4,approved,0.0,0
117,22,80538.91,231,3,0.256,1,approved,1.0,1
118,33,39446.5,191,3,0.344,2,rejected,,1
119,43,44666.63,233,5,0.557,2,approved,1.0,1
120,64,27858.45,59,3,0.12,1,approved,0.0,0
121,37,55134.39,94,4,0.259,2,rejected,,1
122,46,34153.54,185,3,0.259,0,approved,0.0,0
123,50,21643.69,107,1,0.135,2,approved,1.0,1
124,61,78020.12,194,3,0.573,3,approved,1.0,1
125,40,42479.12,200,2,0.051,0,approved,1.0,1
126,50,63654.84,234,5,0.152,2,approved,1.0,1
127,65,32545.16,136,2,0.223,2,approved,1.0,1
128,42,23509.35,214,2,0.333,0,approved,1.0,1
129,71,45831.81,158,2,0.032,3,approved,1.0,1
130,40,46437.37,74,3,0.422,0,approved,0.0,0
131,42,46878.75,75,1,0.303,1,approved,1.0,1
132,19,51343.83,236,5,0.117,1,approved,1.0,1
133,48,25553.76,59,7,0.185,3,approved,0.0,0
134,44,95657.22,128,3,0.165,0,approved,1.0,1
135,41,51487.07,109,2,0.269,0,approved,1.0,1
136,53,56596.87,132,2,0.24,2,approved,1.0,1
137,49,14216.15,127,5,0.326,1,approved,0.0,0
138,71,16474.97,171,2,0.202,1,rejected,,1
139,41,21688.8,214,2,0.053,0,approved,1.0,1
140,42,15835.68,219,6,0.219,2,approved,1.0,1
141,64,31338.74,139,2,0.266,4,rejected,,1
142,45,44580.71,28,1,0.099,2,approved,1.0,1
143,32,41711.76,147,1,0.242,2,approved,0.0,0
144,47,52217.41,189,2,0.538,0,approved,0.0,0
145,46,129418.28,144,2,0.313,1,approved,1.0,1
146,41,19640.83,93,4,0.192,2,rejected,,1
147,48,23698.93,196,2,0.253,1,approved,1.0,1
148,50,62642.33,158,1,0.423,0,approved,1.0,1
149,73,27035.34,200,1,0.461,1,approved,1.0,1
150,22,18474.92,239,5,0.362,1,approved,1.0,1
151,70,23517.88,237,2,0.062,1,approved,1.0,1
152,45,40877.05,115,9,0.287,3,rejected,,0
153,39,37740.14,112,2,0.073,1,approved,1.0,1
154,52,36584.84,201,2,0.239,1,approved,1.0,1
155,24,43128.61,53,6,0.161,1,approved,1.0,1
156,60,45019.05,211,1,0.48,0,approved,1.0,1
157,23,19748.17,202,5,0.059,0,approved,1.0,1
158,42,26334.38,59,3,0.301,3,rejected,,0
159,29,52246.88,71,1,0.23,2,approved,0.0,0
160,35,44209.09,12,5,0.686,1,rejected,,0
161,44,18961.63,139,4,0.258,1,approved,1.0,1
162,18,33990.26,24,2,0.094,1,rejected,,0
163,68,40242.24,175,2,0.418,2,approved,1.0,1
164,61,18833.99,207,1,0.62,1,approved,0.0,0
165,72,8438.13,94,6,0.419,2,approved,1.0,1
166,22,22329.57,215,4,0.076,2,approved,1.0,1
167,28,61032.63,162,3,0.617,1,approved,1.0,1
168,45,18193.73,177,1,0.052,1,approved,1.0,1
169,66,40261.23,18,2,0.121,0,approved,0.0,0
170,35,19544.63,51,1,0.472,2,rejected,,0
171,35,28037.06,167,3,0.334,1,approved,1.0,1
172,65,102779.56,224,2,0.17,4,approved,1.0,1
173,18,47872.26,190,3,0.165,2,approved,1.0,1
174,72,90664.74,237,7,0.165,0,approved,1.0,1
175,28,10033.65,44,1,0.1,1,approved,0.0,0
176,36,36438.74,92,3,0.358,0,approved,1.0,1
177,36,54982.56,148,5,0.386,1,rejected,,1
178,69,43987.05,134,3,0.326,1,approved,1.0,1
179,64,37788.08,47,2,0.08,0,approved,1.0,1
180,37,23470.69,162,5,0.34,0,approved,1.0,1
181,37,73032.48,177,7,0.611,1,approved,1.0,1
182,64,28076.56,202,2,0.761,2,approved,0.0,0
183,34,84612.09,146,4,0.049,1,approved,0.0,0
184,63,38438.34,226,5,0.687,1,approved,0.0,0
185,64,66595.18,68,5,0.181,3,rejected,,0
186,55,21043.58,40,4,0.574,2,rejected,,0
187,60,38408.46,215,2,0.336,0,approved,1.0,1
188,31,55767.84,233,5,0.338,2,approved,1.0,1
189,50,23733.93,228,7,0.2,0,approved,1.0,1
190,25,20780.86,83,6,0.263,1,rejected,,1
191,21,27076.52,87,3,0.108,2,rejected,,0
192,42,27678.86,230,3,0.063,2,approved,1.0,1
193,34,89886.1,222,1,0.244,1,approved,1.0,1
194,26,12085.99,96,4,0.069,1,approved,1.0,1
195,47,26196.54,55,0,0.295,0,rejected,,0
196,67,80351.13,100,3,0.118,0,approved,0.0,0
197,32,33341.13,141,4,0.421,0,approved,1.0,1
198,28,73799.77,150,2,0.315,0,approved,0.0,0
199,67,36227.57,33,1,0.327,2,rejected,,0
200,19,28931.2,145,5,0.118,0,approved,1.0,1
201,51,89166.04,89,5,0.367,2,approved,1.0,1
202,49,49903.0,1,4,0.133,4,rejected,,0
203,44,35145.06,122,3,0.336,0,approved,0.0,0
204,42,19960.28,7,2,0.148,0,rejected,,1
205,19,32160.94,166,6,0.199,0,approved,1.0,1
206,66,25076.91,153,3,0.336,0,approved,1.0,1
207,21,21293.62,109,4,0.08,0,approved,1.0,1
208,27,62388.8,171,4,0.196,3,approved,0.0,0
209,68,20843.74,26,5,0.206,1,rejected,,0
210,38,18877.58,48,6,0.336,0,rejected,,0
211,44,64898.63,217,2,0.299,1,approved,1.0,1
212,54,35338.64,200,3,0.098,2,approved,0.0,0
213,50,13402.9,101,4,0.439,1,approved,1.0,1
214,71,45404.98,153,1,0.328,1,approved,1.0,1
215,71,22490.38,76,9,0.096,0,approved,1.0,1
216,32,34697.23,116,4,0.165,2,approved,0.0,0
217,61,46507.06,69,1,0.34,1,approved,0.0,0
218,57,92630.43,172,4,0.35,0,approved,1.0,1
219,32,50104.26,168,3,0.247,1,approved,1.0,1
220,26,20241.29,181,1,0.094,0,approved,1.0,1
221,64,70484.01,23,3,0.115,1,rejected,,1
222,60,26897.52,174,1,0.353,3,approved,0.0,0
223,39,21473.94,179,6,0.129,2,approved,1.0,1
224,34,48136.57,155,2,0.206,0,approved,1.0,1
225,57,44313.19,205,2,0.3,0,approved,1.0,1
226,31,18036.85,233,1,0.165,1,approved,1.0,1
227,44,54199.08,152,2,0.284,1,approved,1.0,1
228,31,33818.71,138,2,0.375,2,approved,0.0,0
229,53,92211.99,117,4,0.207,1,approved,1.0,1
230,39,17675.97,14,4,0.057,1,rejected,,1
231,55,26886.24,175,3,0.339,2,approved,0.0,0
232,36,65030.55,84,5,0.192,2,rejected,,1
233,53,39392.68,96,2,0.565,1,rejected,,0
234,52,31474.85,19,2,0.319,1,rejected,,0
235,43,45826.62,129,2,0.455,1,approved,1.0,1
236,49,9701.95,147,3,0.132,1,approved,1.0,1
237,28,41357.6,189,2,0.26,1,approved,1.0,1
238,60,28964.18,79,1,0.489,0,approved,1.0,1
239,59,15000.2,221,5,0.104,1,approved,1.0,1
240,34,48779.47,38,3,0.212,3,rejected,,1
241,42,30106.12,162,5,0.318,1,approved,1.0,1
242,72,67345.97,76,4,0.349,2,rejected,,1
243,25,46579.82,165,1,0.183,2,approved,1.0,1
244,48,37325.46,228,2,0.075,0,approved,1.0,1
245,48,36999.43,204,3,0.374,1,approved,1.0,1
246,56,61176.57,96,2,0.296,1,rejected,,0
247,43,15329.68,18,3,0.131,2,rejected,,1
248,57,78100.92,58,2,0.112,0,approved,1.0,1
249,24,51094.18,26,5,0.08,1,approved,0.0,0
250,26,85458.03,1,4,0.031,1,approved,0.0,0
251,48,30656.06,61,3,0.355,1,approved,0.0,0
252,26,29929.75,9,4,0.272,1,rejected,,0
253,19,22542.29,231,3,0.473,4,approved,1.0,1
254,44,54499.48,38,3,0.37,0,rejected,,1
255,57,24581.32,82,0,0.306,0,rejected,,0
256,47,52580.34,13,2,0.164,3,rejected,,0
257,67,43233.47,184,4,0.434,0,approved,0.0,0
258,33,31536.88,171,6,0.342,0,approved,0.0,0
259,43,35209.19,203,6,0.219,1,approved,1.0,1
260,28,55366.8,83,6,0.177,0,approved,0.0,0
261,32,33523.59,57,2,0.097,2,approved,1.0,1
262,46,49849.08,76,4,0.219,1,approved,1.0,1
263,52,12650.8,128,3,0.336,0,approved,1.0,1
264,55,21406.13,165,1,0.346,2,approved,0.0,0
265,32,27288.73,124,6,0.42,0,approved,1.0,1
266,31,60027.57,30,4,0.244,2,approved,1.0,1
267,41,27455.34,119,4,0.302,1,rejected,,1
268,30,49149.58,213,1,0.24,3,approved,1.0,1
269,30,27892.58,58,6,0.263,1,rejected,,0
270,72,21426.51,6,5,0.346,0,approved,1.0,1
271,37,31574.44,1,1,0.013,3,rejected,,1
272,59,32261.59,163,1,0.191,1,approved,0.0,0
273,36,51418.75,130,5,0.502,0,approved,1.0,1
274,19,53916.16,187,1,0.176,1,approved,1.0,1
275,20,57321.11,66,2,0.507,0,approved,1.0,1
276,73,73248.65,136,2,0.114,2,approved,1.0,1
277,38,38970.58,170,1,0.183,0,approved,1.0,1
278,18,18061.47,185,4,0.081,1,approved,1.0,1
279,39,20669.36,234,2,0.453,0,approved,1.0,1
280,33,31123.17,34,4,0.101,4,rejected,,0
281,56,68348.19,233,6,0.093,1,approved,1.0,1
282,70,22702.5,199,4,0.134,0,approved,1.0,1
283,68,20581.44,25,4,0.161,0,rejected,,0
284,22,44442.7,180,3,0.412,1,approved,1.0,1
285,18,27586.7,78,4,0.196,1,rejected,,0
286,66,61483.3,62,5,0.264,3,rejected,,0
287,28,28811.34,7,4,0.193,1,rejected,,0
288,26,33004.79,203,2,0.471,0,approved,1.0,1
289,71,35246.41,10,2,0.232,2,rejected,,1
290,28,33302.92,145,4,0.453,2,rejected,,0
291,66,25361.7,62,4,0.308,1,approved,0.0,0
292,62,22519.79,66,4,0.057,2,rejected,,1
293,29,47217.77,5,5,0.391,4,rejected,,0
294,69,31438.36,80,5,0.494,3,approved,1.0,1
295,53,34739.73,209,3,0.243,0,approved,1.0,1
296,44,18170.55,197,2,0.427,2,approved,1.0,1
297,45,35443.66,78,1,0.293,0,approved,1.0,1
298,20,44768.43,80,4,0.136,1,approved,1.0,1
299,67,50916.94,98,2,0.103,2,approved,0.0,0
300,35,93948.71,136,1,0.388,0,approved,1.0,1
301,33,29699.17,32,4,0.05,1,rejected,,1
302,18,35524.93,102,7,0.479,4,rejected,,0
303,32,20611.3,212,4,0.092,2,approved,1.0,1
304,37,16878.46,208,0,0.071,0,approved,1.0,1
305,20,57002.48,175,1,0.414,2,approved,1.0,1
306,55,18182.76,58,0,0.113,0,approved,1.0,1
307,26,41182.06,209,1,0.23,1,approved,1.0,1
308,33,53661.99,107,3,0.039,1,approved,1.0,1
309,45,87970.81,76,6,0.511,0,approved,1.0,1
310,55,56368.79,87,3,0.797,1,approved,0.0,0
311,28,62278.2,42,3,0.126,0,approved,0.0,0
312,70,52526.22,105,3,0.213,2,approved,0.0,0
313,47,63675.94,145,4,0.108,0,approved,1.0,1
314,44,26147.71,232,1,0.095,0,approved,1.0,1
315,60,110791.23,210,4,0.019,1,approved,1.0,1
316,29,27569.33,220,4,0.283,1,approved,1.0,1
317,34,26928.24,197,1,0.456,0,approved,1.0,1
318,70,72627.53,44,3,0.645,3,rejected,,0
319,58,119826.38,42,1,0.144,2,approved,0.0,0
320,71,57266.96,217,3,0.371,2,approved,1.0,1
321,53,56888.74,70,4,0.171,0,approved,1.0,1
322,25,27336.82,238,6,0.159,0,approved,1.0,1
323,61,32034.52,73,2,0.306,3,rejected,,0
324,69,22356.6,174,2,0.151,0,approved,0.0,0
325,25,25025.96,68,2,0.586,1,rejected,,1
326,34,88866.03,67,0,0.258,0,approved,1.0,1
327,62,18422.91,124,3,0.091,0,approved,0.0,0
328,25,57791.33,197,2,0.062,0,approved,1.0,1
329,73,66799.97,16,2,0.368,1,rejected,,0
330,24,33686.18,137,1,0.302,3,rejected,,0
331,19,40957.69,227,2,0.289,1,approved,1.0,1
332,61,6105.3,215,1,0.04,2,approved,1.0,1
333,18,40504.32,227,3,0.266,2,approved,1.0,1
334,23,23261.8,165,3,0.09,2,approved,1.0,1
335,56,11837.54,225,2,0.073,0,approved,1.0,1
336,61,45872.42,36,3,0.077,3,rejected,,0
337,68,23450.23,101,5,0.109,2,approved,0.0,0
338,31,33913.85,126,1,0.164,1,approved,1.0,1
339,64,35269.89,122,4,0.136,2,approved,1.0,1
340,41,50799.47,188,1,0.356,0,approved,1.0,1
341,62,32395.17,49,2,0.24,1,rejected,,0
342,26,30784.22,107,3,0.27,1,approved,1.0,1
343,59,28749.52,90,2,0.311,1,approved,0.0,0
344,55,32583.76,131,4,0.199,2,approved,0.0,0
345,41,57663.05,216,6,0.543,2,approved,1.0,1
346,44,55924.1,191,1,0.116,1,approved,1.0,1
347,27,28568.39,47,1,0.535,2,rejected,,0
348,40,35542.56,137,3,0.154,0,approved,1.0,1
349,52,32190.88,76,6,0.448,1,approved,0.0,0
350,63,20364.52,61,2,0.248,0,approved,1.0,1
351,52,105912.02,57,3,0.648,1,approved,1.0,1
352,44,24912.56,202,2,0.207,3,approved,1.0,1
353,58,49396.33,159,4,0.333,1,approved,1.0,1
354,57,37861.93,129,6,0.348,1,approved,1.0,1
355,71,60376.46,55,4,0.309,0,approved,1.0,1
356,62,11106.04,17,2,0.2,0,rejected,,1
357,22,52484.62,82,7,0.182,0,approved,1.0,1
358,53,48138.54,159,1,0.148,0,approved,1.0,1
359,58,9728.18,78,3,0.087,0,approved,1.0,1
360,72,41796.25,157,5,0.292,1,approved,1.0,1
361,61,50139.5,210,4,0.349,0,approved,1.0,1
362,49,19977.72,161,3,0.244,0,approved,0.0,0
363,20,28041.76,165,5,0.573,1,rejected,,1
364,30,32434.65,117,0,0.069,0,approved,1.0,1
365,61,24212.29,27,4,0.219,0,approved,0.0,0
366,48,30480.29,90,3,0.125,2,approved,1.0,1
367,57,89790.41,89,2,0.451,1,approved,1.0,1
368,31,49221.96,220,2,0.242,0,approved,1.0,1
369,63,41391.5,8,4,0.425,0,rejected,,0
370,22,56430.81,95,5,0.021,2,approved,1.0,1
371,73,24248.23,30,4,0.525,0,rejected,,0
372,61,17556.83,164,1,0.097,0,approved,1.0,1
373,57,30283.94,79,5,0.178,0,approved,0.0,0
374,33,39943.0,145,4,0.152,2,approved,0.0,0
375,63,41451.58,73,3,0.253,1,approved,0.0,0
376,35,28849.59,90,5,0.504,0,approved,0.0,0
377,66,14716.3,77,1,0.142,2,rejected,,1
378,74,44428.6,60,3,0.283,2,rejected,,0
379,66,23198.04,137,7,0.349,0,approved,1.0,1
380,40,25009.0,162,4,0.415,2,approved,1.0,1
381,69,54433.79,57,3,0.293,2,rejected,,1
382,43,35923.34,144,3,0.112,1,approved,1.0,1
383,64,81542.5,2,4,0.44,2,rejected,,0
384,70,33868.99,20,3,0.026,0,approved,1.0,1
385,39,34670.31,136,2,0.166,1,approved,1.0,1
386,63,31749.47,5,5,0.111,2,rejected,,0
387,74,36826.81,59,4,0.463,0,approved,1.0,1
388,66,30640.12,102,4,0.509,1,rejected,,0
389,29,34807.25,155,2,0.1,2,approved,1.0,1
390,44,29988.24,41,7,0.323,0,approved,0.0,0
391,43,45603.08,128,2,0.4,0,approved,0.0,0
392,30,53674.85,179,6,0.053,2,approved,1.0,1
393,30,29205.96,58,2,0.055,0,approved,1.0,1
394,21,29985.72,117,6,0.152,1,approved,0.0,0
395,57,47682.58,96,3,0.104,0,approved,1.0,1
396,22,83724.89,2,1,0.178,1,approved,1.0,1
397,25,25385.12,49,4,0.162,3,rejected,,0
398,25,33671.43,222,3,0.212,1,approved,1.0,1
399,47,43009.78,188,1,0.277,1,approved,0.0,0
400,33,128560.19,225,2,0.015,1,approved,1.0,1
401,43,22834.36,63,4,0.353,3,rejected,,0
402,62,102554.19,110,0,0.291,1,approved,0.0,0
403,38,60776.32,185,4,0.546,2,approved,0.0,0
404,31,42596.57,214,3,0.21,2,approved,1.0,1
405,22,14913.86,82,0,0.194,1,rejected,,0
406,42,24914.98,125,5,0.551,0,approved,0.0,0
407,64,32678.29,135,3,0.488,0,approved,1.0,1
408,44,59785.13,228,3,0.116,2,approved,1.0,1
409,33,31416.96,32,2,0.405,2,rejected,,0
410,35,49843.42,117,2,0.24,2,approved,0.0,0
411,18,40609.18,115,4,0.405,0,approved,0.0,0
412,28,28638.37,125,5,0.569,1,rejected,,0
413,23,44924.65,10,0,0.178,1,approved,1.0,1
414,33,48009.13,169,2,0.245,1,approved,0.0,0
415,71,24038.68,34,7,0.157,0,rejected,,0
416,66,38738.92,66,0,0.107,1,approved,1.0,1
417,61,97135.04,14,3,0.699,1,approved,0.0,0
418,74,60895.5,53,3,0.182,2,approved,0.0,0
419,35,95397.82,221,6,0.086,1,approved,1.0,1
420,39,38299.56,94,4,0.3,1,rejected,,0
421,20,28318.01,69,1,0.273,4,rejected,,1
422,44,23991.49,141,7,0.49,1,rejected,,1
423,47,27543.25,52,2,0.401,0,rejected,,0
424,37,134105.67,134,5,0.44,2,approved,0.0,0
425,56,19160.46,237,2,0.229,4,approved,1.0,1
426,38,19023.14,102,2,0.219,2,approved,1.0,1
427,43,15092.73,180,3,0.191,2,approved,0.0,0
428,57,36232.89,172,4,0.139,0,approved,1.0,1
429,57,36030.7,110,2,0.082,1,approved,1.0,1
430,59,32837.66,36,3,0.219,2,rejected,,0
431,57,43337.22,95,4,0.236,0,approved,0.0,0
432,36,37075.06,136,1,0.248,2,approved,1.0,1
433,30,19909.23,114,3,0.37,1,approved,0.0,0
434,26,32428.43,49,2,0.104,2,rejected,,0
435,36,71374.15,193,2,0.173,1,approved,1.0,1
436,58,25049.43,234,4,0.165,2,approved,0.0,0
437,66,53898.01,192,1,0.184,0,approved,1.0,1
438,43,31174.82,133,1,0.357,2,approved,0.0,0
439,22,52427.38,112,3,0.207,2,approved,1.0,1
440,70,39181.92,165,3,0.709,3,approved,1.0,1
441,65,29922.89,230,4,0.265,1,approved,1.0,1
442,41,30958.29,208,3,0.269,2,approved,0.0,0
443,53,40970.98,59,3,0.451,2,rejected,,0
444,19,42992.88,231,4,0.204,1,approved,1.0,1
445,41,62509.34,90,4,0.619,1,approved,1.0,1
446,59,15715.06,180,1,0.254,2,approved,0.0,0
447,60,36078.01,95,4,0.154,0,approved,1.0,1
448,74,35574.89,144,3,0.278,0,approved,1.0,1
449,46,37534.53,192,5,0.24,2,rejected,,0
450,44,21812.24,234,1,0.272,2,approved,0.0,0
451,48,22035.71,149,7,0.106,1,approved,1.0,1
452,72,46003.17,166,3,0.127,2,approved,1.0,1
453,24,40470.47,68,2,0.023,2,approved,0.0,0
454,27,59886.58,171,2,0.665,0,approved,1.0,1
455,63,10577.52,11,0,0.131,0,rejected,,1
456,30,67665.87,171,1,0.129,1,approved,0.0,0
457,53,38837.56,226,2,0.096,1,approved,0.0,0
458,37,50237.62,208,5,0.302,3,approved,0.0,0
459,61,67305.38,85,4,0.419,0,approved,1.0,1
460,41,58350.98,201,1,0.515,1,approved,1.0,1
461,27,31906.02,187,1,0.577,2,approved,1.0,1
462,69,31107.93,165,4,0.419,2,approved,0.0,0
463,18,44582.39,36,1,0.195,0,approved,1.0,1
464,73,40745.59,66,3,0.659,2,rejected,,1
465,20,63712.06,82,1,0.483,1,approved,1.0,1
466,47,10432.16,122,1,0.112,3,rejected,,0
467,70,40481.65,208,1,0.331,1,approved,1.0,1
468,57,82875.76,82,5,0.509,2,approved,1.0,1
469,30,54219.94,116,3,0.218,1,approved,1.0,1
470,53,41186.88,124,5,0.327,0,approved,1.0,1
471,29,61731.33,53,2,0.01,0,approved,1.0,1
472,67,20628.34,205,1,0.631,0,approved,1.0,1
473,21,37408.13,123,1,0.429,2,rejected,,1
474,24,49321.18,101,5,0.274,1,approved,0.0,0
475,58,69273.09,181,1,0.338,2,approved,0.0,0
476,50,33380.61,60,4,0.265,2,rejected,,0
477,60,30819.31,34,3,0.172,2,rejected,,0
478,64,30335.77,56,2,0.395,1,approved,0.0,0
479,22,37806.12,103,2,0.089,3,approved,1.0,1
480,62,22312.49,104,2,0.124,2,approved,0.0,0
481,39,45929.58,66,2,0.223,1,approved,1.0,1
482,61,52859.45,173,4,0.093,1,approved,1.0,1
483,29,68550.92,127,7,0.123,0,approved,0.0,0
484,73,79871.12,237,1,0.765,0,approved,1.0,1
485,45,19604.7,34,3,0.243,2,rejected,,0
486,19,55860.3,18,4,0.242,2,rejected,,0
487,58,22771.56,41,6,0.298,0,approved,1.0,1
488,24,24228.24,2,2,0.313,2,rejected,,1
489,52,50549.32,75,3,0.34,1,approved,0.0,0
490,26,33361.15,147,0,0.289,3,rejected,,0
491,30,76006.28,214,3,0.191,0,approved,1.0,1
492,51,31120.28,14,4,0.325,1,rejected,,0
493,51,60643.35,202,5,0.371,0,approved,1.0,1
494,42,47450.94,68,5,0.261,1,rejected,,0
495,34,75091.2,152,5,0.387,1,approved,0.0,0
496,21,41150.14,78,6,0.305,2,rejected,,1
497,37,39973.61,184,5,0.299,2,approved,1.0,1
498,33,22849.38,172,4,0.234,0,approved,1.0,1
499,74,28949.27,218,1,0.111,1,approved,1.0,1
500,40,32013.43,6,3,0.475,3,rejected,,0
501,48,16068.47,150,2,0.277,1,approved,1.0,1
502,46,30853.72,236,0,0.303,3,approved,1.0,1
503,70,24073.3,170,3,0.195,2,approved,1.0,1
504,61,35612.81,61,3,0.202,3,rejected,,1
505,49,31633.99,143,1,0.303,2,approved,0.0,0
506,45,105292.42,174,3,0.213,0,approved,1.0,1
